symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
000490.KS,000490,대동,대동,Unknown,대동 (KOSPI),10400.0,10500.0,10100.0,10130.0,10270.0,10130.0,-1.36,1.27,-2.6,3.85,0.96,0.29,Strong Bearish,51.6,11800.0,9000.0,-14.2,1.38,,,,,,,,56.9331,26.0635,30.8696,Positive,12.78,0.606,Neutral,3,10322.0,-1.86,True,9978.0,1.52,True,10125.0,0.05,True,3,76.0,73.6,50,49.6,61.25,64.77
334890.KS,334890,이지스밸류플러스리츠,이지스밸류플러스리츠,Unknown,이지스밸류플러스리츠 (KOSPI),4205.0,4235.0,4130.0,4185.0,4170.0,4185.0,0.36,0.84,-0.48,2.5,0.71,1.31,Bearish,43.8,4982.0,3945.0,-16.0,1.8,,,,,,,,24.7118,35.5643,-10.8525,Bearish,6.17,0.174,Strong Downtrend,1,4199.0,-0.33,True,4226.0,-0.97,True,4331.0,-3.37,False,2,45.33,63.0,50,49.6,72.5,54.04
003070.KS,003070,코오롱글로벌,코오롱글로벌,Unknown,코오롱글로벌 (KOSPI),11860.0,11900.0,11440.0,11450.0,11860.0,11450.0,-3.46,0.0,-3.46,3.88,0.34,0.08,Strong Bearish,50.0,12450.0,8550.0,-8.0,0.36,,,,,,,,245.1933,331.0815,-85.8882,Bearish,12.14,0.287,Strong Uptrend,5,10656.0,7.45,False,9890.0,15.77,False,9609.0,19.16,False,0,68.0,54.0,50,49.6,47.0,56.04
001780.KS,001780,알루코,알루코,Unknown,알루코 (KOSPI),3270.0,3270.0,2975.0,3005.0,3260.0,3005.0,-7.82,0.31,-8.1,9.02,0.0,0.92,Strong Bearish,59.6,3445.0,1905.0,-12.8,0.57,,,,,,,,178.5201,132.547,45.9731,Positive,38.77,0.78,Uptrend,4,2377.0,26.42,False,2225.0,35.06,False,2243.0,33.97,False,0,56.0,64.6,50,49.6,52.75,55.66
013890.KS,013890,지누스,지누스,Unknown,지누스 (KOSPI),12850.0,12960.0,12840.0,12910.0,12850.0,12910.0,0.47,0.0,0.47,0.93,0.39,0.08,Bullish,71.9,21700.0,10290.0,-40.5,0.55,,,,,,,,398.9257,279.3979,119.5278,Positive,27.55,0.793,Strong Downtrend,1,11895.0,8.53,False,12132.0,6.41,False,14730.0,-12.36,False,0,12.0,60.0,50,49.6,54.25,41.47
377190.KS,377190,디앤디플랫폼리츠,디앤디플랫폼리츠,Unknown,디앤디플랫폼리츠 (KOSPI),3185.0,3240.0,3115.0,3215.0,3185.0,3215.0,0.94,0.0,0.94,3.92,0.78,2.2,Bullish Reversal,52.3,3750.0,2935.0,-14.3,1.04,,,,,,,,45.4692,36.1126,9.3565,Positive,14.03,0.595,Downtrend,2,3160.0,1.74,True,3317.0,-3.08,False,3302.0,-2.63,False,1,50.67,81.2,50,49.6,65.0,59.44
000650.KS,000650,천일고속,천일고속,Unknown,천일고속 (KOSPI),202500.0,204500.0,198900.0,201000.0,202500.0,201000.0,-0.74,0.0,-0.74,2.77,0.99,1.04,Bearish,34.0,457500.0,36850.0,-56.1,1.03,,,,,,,,-7442.1342,-7227.0398,-215.0944,Bearish,13.44,0.092,Downtrend,2,241417.0,-16.74,False,248820.0,-19.22,False,144895.0,38.72,False,0,16.0,52.0,50,49.6,48.75,40.12
404990.KS,404990,신한서부티엔디리츠,신한서부티엔디리츠,Unknown,신한서부티엔디리츠 (KOSPI),4600.0,4685.0,4445.0,4685.0,4585.0,4685.0,2.18,0.33,1.85,5.22,0.0,3.37,Bullish Reversal,60.4,4870.0,3310.0,-3.8,0.73,,,,,,,,123.001,96.6484,26.3526,Positive,24.33,0.724,Strong Uptrend,5,4316.0,8.55,False,3972.0,17.95,False,3750.0,24.93,False,0,65.0,73.2,50,49.6,64.25,61.66
000540.KS,000540,흥국화재,흥국화재,Unknown,흥국화재 (KOSPI),4535.0,4535.0,4365.0,4415.0,4485.0,4415.0,-1.56,1.11,-2.65,3.75,0.0,1.1,Strong Bearish,48.8,6590.0,3270.0,-33.0,1.27,,,,,,,,10.2375,-6.1376,16.3752,Positive,12.62,0.572,Neutral,3,4526.0,-2.45,False,4075.0,8.34,False,4143.0,6.57,False,0,43.0,73.6,50,49.6,54.5,54.19
02826K.KS,02826K,삼성물산우B,삼성물산우B,Unknown,삼성물산우B (KOSPI),197900.0,198500.0,190300.0,190300.0,197900.0,190300.0,-3.84,0.0,-3.84,4.14,0.3,0.0,Strong Bearish,50.5,219000.0,86500.0,-13.1,1.44,,,,,,,,4129.3147,3740.4028,388.9119,Positive,19.17,0.516,Strong Uptrend,5,187602.0,1.44,True,170802.0,11.42,False,146108.0,30.25,False,1,86.67,73.6,50,49.6,56.75,67.52
