symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
131760.KQ,131760,파인텍,파인텍,Unknown,파인텍 (KOSDAQ),0.0,0.0,0.0,1036.0,1036.0,1036.0,0.0,-100.0,,,,,Flat,50.0,2040.0,591.0,-49.2,,,,,,,,,134.4471,167.7981,-33.351,Bearish,179.41,0.494,Uptrend,4,811.0,27.74,False,802.0,29.18,False,826.0,25.42,False,0,40.0,65.0,50.0,62.61,53.33,52.97
200230.KQ,200230,텔콘RF제약,텔콘RF제약,Unknown,텔콘RF제약 (KOSDAQ),637.0,648.0,626.0,628.0,636.0,628.0,-1.26,0.16,-1.41,3.45,1.73,0.31,Bearish Rejection,37.5,3800.0,618.0,-83.5,0.23,,,,,,,,-39.9111,-36.386,-3.5251,Bearish,41.47,0.275,Strong Downtrend,0,783.0,-19.8,False,889.0,-29.36,False,1217.0,-48.4,False,0,0.0,50.0,50.0,62.61,44.75,36.37
270520.KQ,270520,앱튼,앱튼,Unknown,앱튼 (KOSDAQ),0.0,0.0,0.0,228.0,228.0,228.0,0.0,-100.0,,,,,Flat,56.7,1526.0,145.0,-85.1,,,,,,,,,5.6266,3.3886,2.238,Positive,58.67,0.627,Strong Downtrend,1,227.0,0.44,True,321.0,-28.97,False,726.0,-68.6,False,1,22.67,78.25,50.0,62.61,45.67,50.32
383930.KQ,383930,디티앤씨알오,디티앤씨알오,Unknown,디티앤씨알오 (KOSDAQ),3530.0,3590.0,3405.0,3490.0,3520.0,3490.0,-0.85,0.28,-1.13,5.24,1.7,2.41,Bearish,53.4,7490.0,2320.0,-53.4,0.55,,,,,,,,92.0721,126.2667,-34.1947,Bearish,16.28,0.415,Uptrend,4,3133.0,11.39,False,3026.0,15.33,False,3297.0,5.85,False,0,40.0,57.0,50.0,62.61,44.75,50.12
058110.KQ,058110,멕아이씨에스,멕아이씨에스,Unknown,멕아이씨에스 (KOSDAQ),2775.0,2830.0,2745.0,2780.0,2805.0,2780.0,-0.89,-1.07,0.18,3.06,1.8,1.08,Long Upper Doji,50.2,3460.0,1486.0,-19.7,0.08,,,,,,,,116.2586,189.7593,-73.5007,Bearish,22.07,0.194,Uptrend,4,2275.0,22.2,False,2097.0,32.57,False,2131.0,30.46,False,0,56.0,54.6,50.0,62.61,57.25,55.57
065950.KQ,065950,웰크론,웰크론,Unknown,웰크론 (KOSDAQ),1591.0,1597.0,1578.0,1591.0,1591.0,1591.0,0.0,0.0,0.0,1.19,0.38,0.82,Long Lower Doji,48.6,2580.0,1488.0,-38.3,0.43,,,,,,,,4.0541,3.1617,0.8925,Positive,14.96,0.541,Strong Downtrend,0,1613.0,-1.36,True,1655.0,-3.87,False,1877.0,-15.24,False,1,18.67,74.2,50.0,62.61,50.5,48.59
068050.KQ,068050,팬엔터테인먼트,팬엔터테인먼트,Unknown,팬엔터테인먼트 (KOSDAQ),1619.0,1651.0,1588.0,1610.0,1619.0,1610.0,-0.56,0.0,-0.56,3.89,1.98,1.36,Bearish Rejection,47.1,2670.0,1481.0,-39.7,0.97,,,,,,,,1.8464,5.9788,-4.1324,Bearish,12.87,0.428,Strong Downtrend,0,1643.0,-2.01,False,1766.0,-8.83,False,1988.0,-19.01,False,0,7.0,58.0,50.0,62.61,50.5,41.04
043200.KQ,043200,파루,파루,Unknown,파루 (KOSDAQ),995.0,1183.0,993.0,1063.0,995.0,1063.0,6.83,0.0,6.83,19.1,12.06,0.2,Bullish,59.2,1685.0,501.0,-36.9,3.08,,,,,,,,18.1983,20.8023,-2.6041,Improving,13.09,0.856,Neutral,3,968.0,9.81,False,907.0,17.2,False,1053.0,0.95,True,1,54.67,76.0,50.0,62.61,68.25,61.62
359090.KQ,359090,씨엔알리서치,씨엔알리서치,Unknown,씨엔알리서치 (KOSDAQ),777.0,782.0,760.0,772.0,777.0,772.0,-0.64,0.0,-0.64,2.83,0.64,1.54,Bearish,39.6,1102.0,740.0,-29.9,1.51,,,,,,,,-6.3956,-7.0719,0.6763,Positive,5.03,0.241,Strong Downtrend,0,819.0,-5.74,False,870.0,-11.26,False,941.0,-17.96,False,0,8.0,71.6,50.0,62.61,68.75,46.57
075970.KQ,075970,동국알앤에스,동국알앤에스,Unknown,동국알앤에스 (KOSDAQ),2435.0,2445.0,2390.0,2410.0,2430.0,2410.0,-0.82,0.21,-1.03,2.26,0.41,0.82,Bearish,65.6,2835.0,2015.0,-15.0,0.8,,,,,,,,52.7313,35.9073,16.824,Positive,16.1,0.858,Downtrend,2,2235.0,7.83,False,2259.0,6.68,False,2340.0,2.99,False,0,39.0,59.6,50.0,62.61,57.25,51.72
