symbol,display_symbol,name_en,name_local,sector,description,price,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
HST,HST,"Host Hotels & Resorts, Inc.","Host Hotels & Resorts, Inc.",부동산·리츠,"Host Hotels & Resorts, Inc., herein referred to as we, Host Inc., or the Company, is a self-managed and self-administere",20.9,62.0,21.29,13.15,-1.8,0.53,19.0,22.05,5.5,Strong Uptrend,5,19.49,7.23,False,18.48,13.1,False,17.03,22.72,False,18.0,0
HUBB,HUBB,Hubbell Incorporated,Hubbell Incorporated,산업재,"Hubbell Incorporated, together with its subsidiaries, manufactures and sells electrical and utility solutions in the Uni",553.07,64.6,557.85,338.92,-0.9,0.96,33.4,535.77,-3.1,Strong Uptrend,5,506.04,9.29,False,478.58,15.56,False,447.35,23.63,False,10.0,0
HPQ,HPQ,HP Inc.,HP Inc.,기술,"HP Inc. provides personal computing, printing, 3D printing, hybrid work, gaming, and other related technologies in the U",19.79,53.6,28.26,17.91,-30.0,0.94,7.5,19.43,-1.8,Strong Downtrend,1,18.95,4.43,False,20.89,-5.27,False,23.27,-14.95,False,23.0,0
HUM,HUM,Humana Inc.,Humana Inc.,헬스케어,"Humana Inc. provides medical and specialty insurance products in the United States. It operates in two segments, Insuran",215.23,71.3,308.29,162.84,-30.2,0.57,21.9,210.46,-2.2,Strong Downtrend,1,184.9,16.4,False,219.44,-1.92,True,237.51,-9.38,False,17.32,1
HBAN,HBAN,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,금융 서비스,Huntington Bancshares Incorporated operates as the bank holding company for The Huntington National Bank that provides c,16.4,50.5,19.08,13.87,-14.0,0.7,12.6,19.64,19.8,Downtrend,2,16.59,-1.15,True,16.65,-1.5,True,16.39,0.06,True,84.16,3
IEX,IEX,IDEX Corporation,IDEX Corporation,산업재,"IDEX Corporation, together with its subsidiaries, provides applied solutions in the United States, North America, Europe",204.74,58.3,214.58,156.29,-4.6,0.73,31.9,222.71,8.8,Strong Uptrend,5,200.43,2.15,False,189.09,8.28,False,179.77,13.89,False,15.0,0
INCY,INCY,Incyte Corporation,Incyte Corporation,헬스케어,"Incyte Corporation, a biopharmaceutical company, engages in the discovery, development, and commercialization of therape",94.65,46.8,110.57,58.97,-14.4,0.86,14.8,107.36,13.4,Downtrend,2,97.27,-2.69,False,99.82,-5.18,False,88.46,7.0,False,29.0,0
HII,HII,"Huntington Ingalls Industries, Inc.","Huntington Ingalls Industries, Inc.",산업재,"Huntington Ingalls Industries, Inc. designs, builds, overhauls, and repairs military ships in the United States. It oper",359.29,31.1,453.73,217.83,-20.8,1.39,23.4,407.09,13.3,Neutral,3,409.14,-12.18,False,376.31,-4.52,False,316.81,13.41,False,11.0,0
IBM,IBM,International Business Machines Corporation,International Business Machines Corporation,기술,"International Business Machines Corporation, together with its subsidiaries, provides integrated solutions and services ",231.98,39.0,313.19,223.35,-25.9,1.71,20.5,284.18,22.5,Strong Downtrend,1,254.25,-8.76,False,277.58,-16.43,False,271.78,-14.64,False,22.0,0
IR,IR,Ingersoll Rand Inc.,Ingersoll Rand Inc.,산업재,"Ingersoll Rand Inc. provides various mission-critical air, fluid, clean energy, and medical technologies services and so",83.81,48.5,98.74,73.54,-15.1,1.38,57.8,98.93,18.0,Neutral,3,87.91,-4.66,False,84.29,-0.57,True,82.95,1.04,True,60.56,2
